249	7 (A M E O I N T)
Cyperus_elegantulus_Unknown_348	1010000
Cyperus_endlichii_Muasya_and_Knox_954	1000000
Cyperus_erinaceus_Faden_96_358	1000000
Cyperus_eriocauloides_De_Wilde_sn	1000000
Cyperus_erythrorhizos_Reid_7578	0000010
Cyperus_esculentus_Pereira_Silva_66a	1110111
Cyperus_fibrillosus_Schmitz_7479	1000000
Cyperus_filicinus_Reid_7632	0000010
Cyperus_filiculmis_Reid_7627	0000010
Cyperus_filiformis_Reid_8660	0000011
Cyperus_flavescens_microglumis_Malaisse_and_Goetghebeur_390	1000000
Cyperus_flavescens_Pereira_Silva_159	1110111
Cyperus_flavescens_piceus_Pereira_Silva_253	0000011
Cyperus_flavescens_rehmannianus_Muasya_and_Knox_1022	1100000
Cyperus_flavidus_Dhont_11	1100000
Cyperus_flavidus_Reynders_and_Sabulao_45	1111100
Cyperus_fugax_Moura_136A	0000011
Cyperus_callistus_Goetghebeur_4329	1000000
Cyperus_fuligineus_Reid_and_Carter_8663	0000011
Cyperus_giganteus_Pereira_Silva_387	0000001
Cyperus_gracillimus_Lewalle_2112	1000000
Cyperus_grayi_Reid_7757	0000010
Cyperus_grayioides_Reid_7703	0000010
Cyperus_hemidrummondii_Stevens_2668	0000010
Cyperus_hemioccidentalis_Mason_11904	0000010
Cyperus_hermaphroditus_Pereira_Silva_189	0000011
Cyperus_hortensis_Pereira_Silva_410	1100011
Cyperus_hyalinus_Muasya_2490	1111100
Cyperus_hystricinus_Reid_7705	0000010
Cyperus_hystricoides_Larridon_2010_0320	1100000
Cyperus_imbricatus_Reid_7807	1111101
Cyperus_impubes_fallax_Dhondt_9	1100000
Cyperus_intactus_Reid_609	1100100
Cyperus_iria_Reid_7799	1111100
Cyperus_isolepis_Hess_52_1962	1010100
Cyperus_jaeggii_Pereira_Silva_182	0000001
Cyperus_javanicus_Reynders_and_Sabulao_60	0111100
Cyperus_juncelliformis_Malaisse_and_Goetghebeur_409	1000000
Cyperus_kernii_Laegaard_21177	1000100
Cyperus_kersteinii_Muasya_984	1000000
Cyperus_laevigatus_Larridon_2009_0033	1111111
Cyperus_lancastriensis_Reid_and_Carter_8043	0000010
Cyperus_lanceolatus_Pereira_Silva_70	1100011
Cyperus_leptocarpus_Desfayes_9804	0011000
Cyperus_leucaspis_Malaisse_8502	1000000
Cyperus_ligularis_Pereira_Silva_223	1000011
Cyperus_lipocomosus_Van_der_Linden_441	1000000
Cyperus_lipofiliformis_Goetghebeur_6012	1000000
Cyperus_lipomexicanus_Larridon_2010_072	0100011
Cyperus_liporobinsonii_Symoens_10848	1000000
Cyperus_longiculmis_Pereira_Silva_361	0000001
Cyperus_chrysanthus_Muasya_and_Knox_1027	1000000
Cyperus_longus_Farjon_217	1110100
Cyperus_lupulinus_Reid_7711	0000010
Cyperus_macranthus_Edwards_1038	1000000
Cyperus_macrostachyos_Muasya_2471	1111111
Cyperus_manimae_Gonzalez_8128	0000011
Cyperus_meeboldii_Kilian_and_Lobin_6848	1000100
Cyperus_megapotamicus_Pereira_Silva_72	0000001
Cyperus_melanacme_Richards_8409	1000000
Cyperus_melas_Robinson_3478	1000000
Cyperus_metzii_Reid_and_Carter_8629	1111100
Cyperus_meyenianus_Fosberg_47227	0000001
Cyperus_meyenianus_Pereira_Silva_172	0000001
Cyperus_microiria_Jung_1010069	0010100
Cyperus_micromelas_Robinson_2310	1000000
Cyperus_mindorensis_Goetghebeur_11518	1111100
Cyperus_mundii_Pereira_Silva_51	1110000
Cyperus_neobarteri_Geerling_and_Bokdam_2952	1000000
Cyperus_neotropicalis_McNeilus_91_1186	0000010
Cyperus_niederleinianus_Pereira_Silva_404	0000001
Cyperus_niger_Gonzalez_8125	0000011
Cyperus_nigricans_Mwachala_368	1100000
Cyperus_nipponicus_Jung_1009073	0010000
Cyperus_nuerensis_Muasya_and_Knox_940	1000000
Cyperus_obtusatus_Pereira_Silva_222	1000001
Cyperus_odoratus_Pereira_Silva_366	1111111
Cyperus_orthostachyus_Jung_1009032	0010000
Cyperus_ovatus_Reid_and_Carter_7765	0000011
Cyperus_oxylepis_Pereira_Silva_379	0000011
Cyperus_pacificus_Jung_807040	0010000
Cyperus_papyrus_Goetghebeur_5866	1100000
Cyperus_pauper_Milne_Redhead_and_Taylor_9184	1000000
Cyperus_pedunculatus_Faden_96_48	1111111
Cyperus_pelophilus_Muasya_and_Muthama_1264	1100000
Cyperus_persquarrosus_Hess_52_1753	1100000
Cyperus_pilosus_Reid_7575	0011100
Cyperus_planifolius_Reid_and_Carter_8662	0000011
Cyperus_plukenetii_Reid_and_Carter_8039	0000010
Cyperus_pohlii_Pereira_Silva_430	0000001
Cyperus_pohlii_subsp_bahiensis_Trevisan_1953	0000001
Cyperus_polystachyos_Goetghebeur_11519	1111111
Cyperus_potiguar_Trevisan_1958	0000001
Cyperus_prieurianus_Laegaard_21159	1000000
Cyperus_prolixus_Pereira_Silva_405	0000011
Cyperus_proteus_Malaisse_and_Kisimba_695	1000000
Cyperus_pseudopeteri_Robinson_5896	1000000
Cyperus_pumilus_Silva_75	1111100
Cyperus_purpureoluteus_Hess_52_195	1000000
Cyperus_pustulatus_Porembski_624	1000000
Cyperus_redolens_Pereira_Silva_173	0000001
Cyperus_refractus_Carter_19848	0000010
Cyperus_regiomontanus_Gonzalez_8135	0000011
Cyperus_retrorsus_Reid_7502	0000011
Cyperus_rhizomatosus_Gereau_and_Dumetz_3259	0100000
Cyperus_richardii_Goetghebeur_11989	1010100
